Start Date,End Date,Location,State,Travel Type
6/13/2025,6/14/2025,Scaggsville,MD,Driving
6/14/2025,6/20/2025,Washington,DC,Driving
6/20/2025,6/22/2025,Leesburg,VA,Driving
6/22/2025,6/24/2025,Richmond,VA,Driving
6/24/2025,6/25/2025,Oxford,NC,Driving
6/25/2025,6/27/2025,Raleigh,NC,Driving
6/27/2025,6/28/2025,Seagrove,NC,Driving
6/28/2025,6/29/2025,Charlotte,NC,Driving
6/29/2025,7/1/2025,Columbia,SC,Driving
7/1/2025,7/2/2025,Yemassee,SC,Driving
7/2/2025,7/4/2025,Savannah,GA,Driving
7/4/2025,7/5/2025,Yulee,FL,Driving
7/5/2025,7/6/2025,Jacksonville,FL,Driving
7/6/2025,7/7/2025,Fort Lauderdale,FL,Driving
